"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-08-01 00:02:48+08:00",1.0,133.37,0.0,0.5,46.99,0.27,3.97,10.22,0.37,"Manila"
"2025-08-01 00:02:50+08:00",1.0,80.64,0.0,0.38,24.31,0.08,1.13,2.4,0.17,"Marawi"
"2025-08-01 00:02:52+08:00",2.0,330.99,0.58,11.13,13.49,1.89,19.13,21.88,7.87,"Mati"
"2025-08-01 00:02:54+08:00",1.0,133.37,0.0,0.5,46.99,0.27,3.97,10.22,0.37,"Meycauayan"
"2025-08-01 00:02:55+08:00",1.0,157.9,0.0,1.3,45.33,0.54,5.63,14.26,0.54,"Muñoz"
"2025-08-01 00:02:57+08:00",1.0,93.49,0.0,0.3,34.44,0.15,1.82,5.09,0.17,"Naga"
"2025-08-01 00:02:59+08:00",1.0,133.37,0.0,0.5,46.99,0.27,3.97,10.22,0.37,"Navotas"
"2025-08-01 00:03:01+08:00",1.0,134.51,0.0,0.25,47.57,0.23,5.17,16.25,0.1,"Olongapo"
"2025-08-01 00:03:04+08:00",1.0,107.04,0.01,2.69,22.63,1.12,2.17,4.09,0.88,"Ormoc"
"2025-08-01 00:03:06+08:00",1.0,125.55,0.24,1.58,18.91,0.26,2.91,4.34,1.62,"Oroquieta"
"2025-08-01 00:03:08+08:00",1.0,74.7,0.0,0.19,24.02,0.06,1.06,2.47,0.1,"Ozamiz City"
"2025-08-01 00:03:10+08:00",1.0,79.38,0.0,0.52,23.02,0.15,1.17,2.85,0.47,"Pagadian"
"2025-08-01 00:03:12+08:00",1.0,137.38,0.0,0.94,46.71,0.59,4.37,10.94,0.27,"Palayan City"
"2025-08-01 00:03:14+08:00",2.0,369.27,0.56,11.6,11.19,1.48,12.2,14.38,7.26,"Panabo"
"2025-08-01 00:03:16+08:00",1.0,139.99,0.0,0.8,45.83,0.28,3.1,6.82,0.67,"Paranaque City"
"2025-08-01 00:03:18+08:00",1.0,139.99,0.0,0.8,45.83,0.28,3.1,6.82,0.67,"Pasig"
"2025-08-01 00:03:20+08:00",1.0,110.23,0.0,0.8,36.06,0.24,5.95,9.25,0.88,"Puerto Princesa City"
"2025-08-01 00:03:22+08:00",1.0,139.63,0.0,0.78,46.38,0.34,3.43,8.06,0.63,"Quezon City"
"2025-08-01 00:03:24+08:00",1.0,373.33,0.74,7.48,19.32,1.45,8.66,10.68,4.13,"Roxas"
"2025-08-01 00:03:26+08:00",1.0,147.74,0.09,2.81,14.97,0.43,4.86,8.67,1.11,"Sagay"
"2025-08-01 00:03:28+08:00",1.0,130.0,0.0,0.23,47.56,0.21,4.68,13.77,0.11,"Samal"
"2025-08-01 00:03:30+08:00",1.0,136.92,0.0,0.59,47.33,0.41,4.95,13.79,0.18,"San Carlos"
"2025-08-01 00:03:31+08:00",2.0,139.94,0.0,0.76,42.7,0.58,6.99,22.74,0.15,"San Fernando"
"2025-08-01 00:03:33+08:00",1.0,273.95,0.05,4.64,11.13,0.58,4.95,6.17,2.0,"San Jose"
"2025-08-01 00:03:34+08:00",1.0,139.27,0.0,0.77,46.93,0.41,3.75,9.3,0.58,"San Jose del Monte"
"2025-08-01 00:03:37+08:00",1.0,148.66,0.0,2.21,40.38,1.55,6.39,17.3,0.41,"San Juan"
"2025-08-01 00:03:38+08:00",1.0,128.61,0.0,0.24,47.72,0.23,5.0,14.13,0.12,"San Pablo"
"2025-08-01 00:03:40+08:00",1.0,256.1,0.0,4.63,25.11,0.73,3.65,4.59,1.44,"San Pedro"
"2025-08-01 00:03:43+08:00",1.0,136.92,0.0,0.59,47.33,0.41,4.95,13.79,0.18,"Santa Rosa"
"2025-08-01 00:03:44+08:00",1.0,156.43,0.0,2.2,40.26,1.46,5.78,15.73,0.56,"Santiago"
"2025-08-01 00:03:47+08:00",1.0,373.17,1.06,6.91,17.14,1.39,8.38,10.13,4.31,"Santo Tomas"
"2025-08-01 00:03:49+08:00",1.0,78.67,0.0,0.23,24.97,0.14,2.41,6.95,0.14,"Silay City"
"2025-08-01 00:03:51+08:00",1.0,82.32,0.0,0.38,27.74,0.16,3.22,8.76,0.1,"Sipalay"
"2025-08-01 00:03:52+08:00",2.0,330.99,0.58,11.13,13.49,1.89,19.13,21.88,7.87,"Surigao City"
"2025-08-01 00:03:54+08:00",1.0,108.71,0.0,1.32,27.6,0.45,2.48,6.85,0.59,"Tabaco"
"2025-08-01 00:03:56+08:00",1.0,397.2,1.42,7.34,13.79,1.69,9.8,11.72,5.17,"Tabuk"
"2025-08-01 00:03:58+08:00",1.0,119.71,0.0,3.85,24.54,1.51,2.64,4.35,1.34,"Tacloban City"
"2025-08-01 00:03:59+08:00",1.0,74.34,0.0,0.3,23.61,0.09,1.09,2.65,0.11,"Tacurong"
"2025-08-01 00:04:01+08:00",1.0,129.23,0.0,0.46,45.77,0.17,2.94,6.64,0.36,"Tagaytay City"
"2025-08-01 00:04:03+08:00",1.0,139.99,0.0,0.8,45.83,0.28,3.1,6.82,0.67,"Taguig"
"2025-08-01 00:04:05+08:00",1.0,105.66,0.0,0.43,36.34,0.17,1.72,3.89,0.27,"Talisay"
"2025-08-01 00:04:07+08:00",1.0,134.77,0.0,0.75,44.31,0.21,2.64,5.36,0.59,"Tanauan"
"2025-08-01 00:04:09+08:00",2.0,289.37,0.19,8.25,5.63,1.05,16.36,17.89,4.17,"Tandag"
"2025-08-01 00:04:11+08:00",1.0,78.67,0.0,0.23,24.97,0.14,2.41,6.95,0.14,"Tangub"
"2025-08-01 00:04:13+08:00",1.0,84.81,0.0,0.53,25.71,0.11,1.7,3.67,0.19,"Tanjay"
